Gender,Age,Time Spent
Male,16,Less than 1 hour
Male,18,1 - 2 hours
Male,16,Less than 1 hour
Female,18,4 or more
Female,19,Less than 1 hour
Male,16,Less than 1 hour
Female,18,Less than 1 hour
Female,16,Less than 1 hour
Male,18,1 - 2 hours
Male,18,2 - 4 hours
Female,16,Less than 1 hour
Male,16,4 or more
Female,16,Less than 1 hour
Female,19,Less than 1 hour
Male,18,2 - 4 hours
Female,18,2 - 4 hours
Female,19,1 - 2 hours
Female,19,Less than 1 hour
Male,18,1 - 2 hours
Female,18,Less than 1 hour
Female,18,1 - 2 hours
Male,19,Less than 1 hour
Female,22,1 - 2 hours
Male,25,Less than 1 hour
Female,16,1 - 2 hours
Male,22,1 - 2 hours
Female,18,1 - 2 hours
Female,16,Less than 1 hour
Male,22,Less than 1 hour
Female,19,Less than 1 hour
Male,18,4 or more
Female,16,1 - 2 hours
Male,19,1 - 2 hours
Male,18,1 - 2 hours
Male,16,Less than 1 hour
Male,19,Less than 1 hour
Male,18,1 - 2 hours
Male,16,2 - 4 hours
Female,19,1 - 2 hours
Female,18,1 - 2 hours
Male,22,2 - 4 hours
Male,16,1 - 2 hours
Female,19,1 - 2 hours
Male,19,4 or more
Male,18,1 - 2 hours
Male,18,1 - 2 hours
Female,18,1 - 2 hours
Female,16,4 or more
Male,19,1 - 2 hours
Male,19,Less than 1 hour
Male,19,1 - 2 hours
Female,16,Less than 1 hour
Male,18,1 - 2 hours
Male,19,1 - 2 hours
Male,19,1 - 2 hours
Male,20,1 - 2 hours
Male,18,1 - 2 hours
Female,25,1 - 2 hours
Female,20,2 - 4 hours
Male,20,Less than 1 hour
Male,22,2 - 4 hours
Female,18,Less than 1 hour
Male,19,2 - 4 hours
Male,18,2 - 4 hours
Male,20,1 - 2 hours
Female,19,1 - 2 hours
Male,22,1 - 2 hours
Female,18,Less than 1 hour
Male,18,1 - 2 hours
Female,20,1 - 2 hours
Female,19,2 - 4 hours
Male,22,Less than 1 hour
Female,19,2 - 4 hours
Female,18,1 - 2 hours
Male,20,2 - 4 hours
Female,19,1 - 2 hours
Female,18,1 - 2 hours
Female,18,Less than 1 hour
Female,18,1 - 2 hours
Female,25,2 - 4 hours
Male,20,Less than 1 hour
Male,19,Less than 1 hour
Female,20,2 - 4 hours
Female,19,1 - 2 hours
Female,18,Less than 1 hour
Female,18,1 - 2 hours
Male,18,1 - 2 hours
Male,20,1 - 2 hours
Female,19,2 - 4 hours
Male,20,1 - 2 hours
Male,19,Less than 1 hour
Male,18,1 - 2 hours
Male,18,Less than 1 hour
Female,18,2 - 4 hours
Female,20,Less than 1 hour
Female,20,Less than 1 hour
Female,19,Less than 1 hour
Female,19,Less than 1 hour
Female,18,Less than 1 hour
Male,18,1 - 2 hours
Male,22,1 - 2 hours
Male,19,Less than 1 hour
Female,25,Less than 1 hour
Female,20,1 - 2 hours
Male,18,1 - 2 hours
Male,19,4 or more
Female,18,1 - 2 hours
Male,18,1 - 2 hours
Male,18,Less than 1 hour
Female,18,1 - 2 hours
Male,22,2 - 4 hours
Male,20,1 - 2 hours
Female,20,Less than 1 hour
Female,20,Less than 1 hour
Male,18,Less than 1 hour
Male,18,2 - 4 hours
Male,18,2 - 4 hours
Female,20,Less than 1 hour
Male,20,Less than 1 hour
Male,20,1 - 2 hours
Male,25,Less than 1 hour
