Gender,Age,Why  this media?,values
Male,16,"E, U",5
Male,18,"E, U, L",6
Male,16,"E, U, L",6
Female,18,E,1
Female,19,L,2
Male,16,E,1
Female,18,E,1
Female,16,E,1
Male,18,U,4
Male,18,"E, U, L",6
Female,16,"E, U",5
Male,16,"E, U, L, S",8
Female,16,E,1
Female,19,"E, U",5
Male,18,"E, U",5
Female,18,E,1
Female,19,L,2
Female,19,E,1
Male,18,"E, U, L, S",8
Female,18,E,1
Female,18,"E, U",5
Male,19,"E, U, L",6
Female,22,"E, U, L",6
Male,25,U,4
Female,16,U,4
Male,22,E,1
Female,18,"E, S",9
Female,16,"E, L",7
Male,22,"E, L",7
Female,19,E,1
Male,18,U,4
Female,16,E,1
Male,19,E,1
Male,18,"E, U, L",6
Male,16,U,4
Male,19,E,1
Male,18,E,1
Male,16,"E, U, L, S",8
Female,19,E,1
Female,18,"E, U, L, S",8
Male,22,E,1
Male,16,"U, L",10
Female,19,E,1
Male,19,L,2
Male,18,"E, U",5
Male,18,E,1
Female,18,E,1
Female,16,"E, U, L",6
Male,19,E,1
Male,19,"E, U",5
Male,19,"E, U, L, S",8
Female,16,"E, L",7
Male,18,"E, L, S",12
Male,19,E,1
Male,19,"U, L",10
Male,20,"E, U",5
Male,18,"E, S",9
Female,25,"E, S",9
Female,20,L,2
Male,20,L,2
Male,22,"E, U",5
Female,18,"E, L, S",12
Male,19,"E, U, S",13
Male,18,"E, U",5
Male,20,"E, L, S",12
Female,19,"U, L",10
Male,22,"U, L",10
Female,18,"E, U, L",6
Male,18,"E, U, L",6
Female,20,"E, S",9
Female,19,"E, L",7
Male,22,"E, U, L",6
Female,19,E,1
Female,18,E,1
Male,20,E,1
Female,19,"E, U, L",6
Female,18,"E, U",5
Female,18,E,1
Female,18,"E, L",7
Female,25,"E, U",5
Male,20,"E, S",9
Male,19,"E, L",7
Female,20,E,1
Female,19,U,4
Female,18,E,1
Female,18,"E, U",5
Male,18,E,1
Male,20,"U, L",10
Female,19,E,1
Male,20,E,1
Male,19,U,4
Male,18,"E, U, L",6
Male,18,"E, U, L",6
Female,18,"E, U",5
Female,20,"E, L",7
Female,20,"E, U, L, S",8
Female,19,"E, L",7
Female,19,"E, U",5
Female,18,E,1
Male,18,"U, L",10
Male,22,"E, L",7
Male,19,S,3
Female,25,"E, L",7
Female,20,E,1
Male,18,"E, L",7
Male,19,E,1
Female,18,"E, U",5
Male,18,L,2
Male,18,"U, S",11
Female,18,S,3
Male,22,L,2
Male,20,"E, U, L, S",8
Female,20,"E, U, L",6
Female,20,E,1
Male,18,E,1
Male,18,"E, U",5
Male,18,"E, S",9
Female,20,"E, U, L",6
Male,20,"E, L",7
Male,20,"E, U",5
Male,25,L,2
