earning?, channel ,why,pref,Subscriptions,h_w
1,1,5,6,0,1
2,3,6,10,6,1
1,1,6,12,3,2
1,1,1,8,0,1
1,1,2,5,0,1
1,1,1,3,0,1
1,1,1,1,3,1
1,1,1,1,3,2
1,1,4,6,0,1
1,1,6,7,6,2
1,1,5,1,3,1
2,3,8,10,12,2
1,1,1,8,0,2
1,1,5,5,0,1
2,1,5,3,3,2
1,1,1,1,0,1
1,1,2,2,3,2
1,4,1,4,3,2
3,1,8,7,6,1
1,1,1,8,0,1
1,1,5,6,3,2
1,3,6,7,6,2
1,1,6,9,6,2
2,2,4,3,12,2
1,1,4,1,3,1
1,1,1,1,0,1
1,1,9,4,6,1
1,1,7,5,0,1
1,1,7,7,3,2
1,1,1,1,0,1
2,1,4,1,0,1
1,1,1,1,0,1
1,1,1,1,3,1
2,4,6,10,8,2
1,1,4,1,8,2
1,1,1,8,0,2
1,1,1,3,8,1
3,1,8,7,0,1
3,4,1,4,12,2
2,3,8,7,3,2
1,1,1,1,12,1
3,3,10,7,12,2
1,1,1,1,0,1
1,1,2,3,3,2
1,3,5,6,12,2
1,1,1,3,3,2
1,1,1,1,3,2
2,1,6,10,0,1
3,1,1,7,8,2
1,4,5,6,12,2
3,1,8,10,3,2
1,1,7,1,0,1
3,3,12,2,12,2
1,1,1,1,3,2
3,4,10,5,0,1
3,4,5,7,12,2
1,1,9,5,3,2
1,1,9,6,0,1
1,3,2,4,8,1
1,1,2,2,3,1
1,1,5,1,3,2
1,1,12,9,3,2
3,1,13,1,12,2
3,4,5,6,8,2
3,4,12,5,12,1
1,1,10,4,3,2
1,3,10,7,12,2
2,1,6,9,3,2
1,1,6,13,0,1
1,1,9,9,3,1
1,1,7,5,0,2
1,1,6,7,8,2
1,1,1,8,12,2
1,1,1,1,0,1
1,1,1,3,0,1
3,1,6,4,0,1
1,1,5,11,0,2
1,1,1,1,8,2
1,1,7,5,3,1
3,1,5,6,0,1
3,3,9,6,3,2
1,1,7,1,0,1
1,1,1,8,0,1
1,1,4,1,3,2
1,3,1,8,12,2
1,1,5,1,0,2
1,3,1,6,8,2
1,1,10,7,8,2
1,1,1,1,0,1
1,3,1,1,0,1
1,1,4,3,0,1
3,1,6,7,3,2
3,1,6,6,3,2
1,1,5,1,3,2
1,1,7,5,12,2
1,1,8,9,0,2
1,1,7,9,0,1
1,1,5,10,0,1
1,1,1,4,3,2
1,1,10,5,0,1
1,3,7,7,12,2
3,2,3,1,3,2
1,1,7,7,0,1
1,1,1,9,8,2
1,1,7,9,3,2
3,1,1,6,0,2
1,1,5,1,3,1
1,1,2,2,0,1
1,1,11,6,6,1
1,1,3,1,0,1
2,2,2,3,6,2
3,1,8,7,12,2
1,1,6,9,3,1
1,3,1,1,0,2
3,1,1,6,3,1
1,4,5,7,3,2
3,4,9,7,3,2
2,1,6,7,3,1
2,1,7,5,0,1
1,3,5,5,12,2
1,1,2,2,3,1
