Gender,Age, channel 
Male,16,No.
Male,18,"Yes, but it is not active"
Male,16,No.
Female,18,No.
Female,19,No.
Male,16,No.
Female,18,No.
Female,16,No.
Male,18,No.
Male,18,No.
Female,16,No.
Male,16,"Yes, but it is not active"
Female,16,No.
Female,19,No.
Male,18,No.
Female,18,No.
Female,19,No.
Female,19,I will make my channel.
Male,18,No.
Female,18,No.
Female,18,No.
Male,19,"Yes, but it is not active"
Female,22,No.
Male,25,"Yes, it is active"
Female,16,No.
Male,22,No.
Female,18,No.
Female,16,No.
Male,22,No.
Female,19,No.
Male,18,No.
Female,16,No.
Male,19,No.
Male,18,I will make my channel.
Male,16,No.
Male,19,No.
Male,18,No.
Male,16,No.
Female,19,I will make my channel.
Female,18,"Yes, but it is not active"
Male,22,No.
Male,16,"Yes, but it is not active"
Female,19,No.
Male,19,No.
Male,18,"Yes, but it is not active"
Male,18,No.
Female,18,No.
Female,16,No.
Male,19,No.
Male,19,I will make my channel.
Male,19,No.
Female,16,No.
Male,18,"Yes, but it is not active"
Male,19,No.
Male,19,I will make my channel.
Male,20,I will make my channel.
Male,18,No.
Female,25,No.
Female,20,"Yes, but it is not active"
Male,20,No.
Male,22,No.
Female,18,No.
Male,19,No.
Male,18,I will make my channel.
Male,20,I will make my channel.
Female,19,No.
Male,22,"Yes, but it is not active"
Female,18,No.
Male,18,No.
Female,20,No.
Female,19,No.
Male,22,No.
Female,19,No.
Female,18,No.
Male,20,No.
Female,19,No.
Female,18,No.
Female,18,No.
Female,18,No.
Female,25,No.
Male,20,"Yes, but it is not active"
Male,19,No.
Female,20,No.
Female,19,No.
Female,18,"Yes, but it is not active"
Female,18,No.
Male,18,"Yes, but it is not active"
Male,20,No.
Female,19,No.
Male,20,"Yes, but it is not active"
Male,19,No.
Male,18,No.
Male,18,No.
Female,18,No.
Female,20,No.
Female,20,No.
Female,19,No.
Female,19,No.
Female,18,No.
Male,18,No.
Male,22,"Yes, but it is not active"
Male,19,"Yes, it is active"
Female,25,No.
Female,20,No.
Male,18,No.
Male,19,No.
Female,18,No.
Male,18,No.
Male,18,No.
Female,18,No.
Male,22,"Yes, it is active"
Male,20,No.
Female,20,No.
Female,20,"Yes, but it is not active"
Male,18,No.
Male,18,I will make my channel.
Male,18,I will make my channel.
Female,20,No.
Male,20,No.
Male,20,"Yes, but it is not active"
Male,25,No.
